feature_id	modality	model_used	family	alpha	alpha_estimated	converged	dropped_covariates	warning
GNAI2:chr1:1325000	RNA	nb_default_alpha	negative_binomial		False	True	False	
JARID2:chr1:1330000	RNA	nb_default_alpha	negative_binomial		False	True	False	
DOCK11:chr1:1335000	RNA	nb_default_alpha	negative_binomial		False	True	False	
AP3B1:chr1:1340000	RNA	nb_default_alpha	negative_binomial		False	True	False	
TMA7:chr1:1345000	RNA	nb_default_alpha	negative_binomial		False	True	False	
WAC:chr1:1350000	RNA	nb_default_alpha	negative_binomial		False	True	False	
AHNAK:chr1:1355000	RNA	nb_default_alpha	negative_binomial		False	True	False	
PRKCA:chr1:1360000	RNA	nb_default_alpha	negative_binomial		False	True	False	
PCNX1:chr1:1365000	RNA	nb_default_alpha	negative_binomial		False	True	False	
CAMK2D:chr1:1370000	RNA	nb_default_alpha	negative_binomial		False	True	False	
NLRC5:chr1:1375000	RNA	nb_default_alpha	negative_binomial		False	True	False	
CREBBP:chr1:1380000	RNA	nb_default_alpha	negative_binomial		False	True	False	
SIPA1L1:chr1:1385000	RNA	nb_default_alpha	negative_binomial		False	True	False	
WSB1:chr1:1390000	RNA	nb_default_alpha	negative_binomial		False	True	False	
DYRK1A:chr1:1395000	RNA	nb_default_alpha	negative_binomial		False	True	False	
PARP14:chr1:1400000	RNA	nb_default_alpha	negative_binomial		False	True	False	
IFI16:chr1:1405000	RNA	nb_default_alpha	negative_binomial		False	True	False	
GLS:chr1:1410000	RNA	nb_default_alpha	negative_binomial		False	True	False	
AGTPBP1:chr1:1415000	RNA	nb_default_alpha	negative_binomial		False	True	False	
SPIDR:chr1:1420000	RNA	nb_default_alpha	negative_binomial		False	True	False	
FNBP4:chr1:1425000	RNA	nb_default_alpha	negative_binomial		False	True	False	
SLC25A6:chr1:1430000	RNA	nb_default_alpha	negative_binomial		False	True	False	
CAMK1D:chr1:1435000	RNA	nb_default_alpha	negative_binomial		False	True	False	
CCDC91:chr1:1440000	RNA	nb_default_alpha	negative_binomial		False	True	False	
PRPF4B:chr1:1445000	RNA	nb_default_alpha	negative_binomial		False	True	False	
EPB41:chr1:1450000	RNA	nb_default_alpha	negative_binomial		False	True	False	
NDFIP1:chr1:1455000	RNA	nb_default_alpha	negative_binomial		False	True	False	
SEPTIN7:chr1:1460000	RNA	nb_default_alpha	negative_binomial		False	True	False	
MTDH:chr1:1465000	RNA	nb_default_alpha	negative_binomial		False	True	False	
GNAQ:chr1:1470000	RNA	nb_default_alpha	negative_binomial		False	True	False	
TLE4:chr1:1475000	RNA	nb_default_alpha	negative_binomial		False	True	False	
CELF1:chr1:1480000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ZCCHC7:chr1:1485000	RNA	nb_default_alpha	negative_binomial		False	True	False	
PHIP:chr1:1490000	RNA	nb_default_alpha	negative_binomial		False	True	False	
GIMAP7:chr1:1495000	RNA	nb_default_alpha	negative_binomial		False	True	False	
HNRNPK:chr1:1500000	RNA	nb_default_alpha	negative_binomial		False	True	False	
RBMS1:chr1:1505000	RNA	nb_default_alpha	negative_binomial		False	True	False	
MSN:chr1:1510000	RNA	nb_default_alpha	negative_binomial		False	True	False	
FRYL:chr1:1515000	RNA	nb_default_alpha	negative_binomial		False	True	False	
RSRP1:chr1:1520000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ATP11B:chr1:1525000	RNA	nb_default_alpha	negative_binomial		False	True	False	
PPP6R3:chr1:1530000	RNA	nb_default_alpha	negative_binomial		False	True	False	
CCDC88C:chr1:1535000	RNA	nb_default_alpha	negative_binomial		False	True	False	
UBE2D3:chr1:1540000	RNA	nb_default_alpha	negative_binomial		False	True	False	
NLRP1:chr1:1545000	RNA	nb_default_alpha	negative_binomial		False	True	False	
FCHSD2:chr1:1550000	RNA	nb_default_alpha	negative_binomial		False	True	False	
IL32:chr1:1555000	RNA	nb_default_alpha	negative_binomial		False	True	False	
NCOA3:chr1:1560000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ESYT2:chr1:1565000	RNA	nb_default_alpha	negative_binomial		False	True	False	
PUM2:chr1:1570000	RNA	nb_default_alpha	negative_binomial		False	True	False	
XRN1:chr1:1575000	RNA	nb_default_alpha	negative_binomial		False	True	False	
SKAP1:chr1:1580000	RNA	nb_default_alpha	negative_binomial		False	True	False	
TTC17:chr1:1585000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ETV6:chr1:1590000	RNA	nb_default_alpha	negative_binomial		False	True	False	
STAT3:chr1:1595000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ADD3:chr1:1600000	RNA	nb_default_alpha	negative_binomial		False	True	False	
FBXW7:chr1:1605000	RNA	nb_default_alpha	negative_binomial		False	True	False	
SORL1:chr1:1610000	RNA	nb_default_alpha	negative_binomial		False	True	False	
DENND4A:chr1:1615000	RNA	nb_default_alpha	negative_binomial		False	True	False	
KDM4C:chr1:1620000	RNA	nb_default_alpha	negative_binomial		False	True	False	
FAF1:chr1:1625000	RNA	nb_default_alpha	negative_binomial		False	True	False	
PPP3CA:chr1:1630000	RNA	nb_default_alpha	negative_binomial		False	True	False	
LCP2:chr1:1635000	RNA	nb_default_alpha	negative_binomial		False	True	False	
XRCC5:chr1:1640000	RNA	nb_default_alpha	negative_binomial		False	True	False	
RICTOR:chr1:1645000	RNA	nb_default_alpha	negative_binomial		False	True	False	
CYTIP:chr1:1650000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ARL15:chr1:1655000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ATP2B1:chr1:1660000	RNA	nb_default_alpha	negative_binomial		False	True	False	
CDKAL1:chr1:1665000	RNA	nb_default_alpha	negative_binomial		False	True	False	
VTI1A:chr1:1670000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ANKRD17:chr1:1675000	RNA	nb_default_alpha	negative_binomial		False	True	False	
MBD5:chr1:1680000	RNA	nb_default_alpha	negative_binomial		False	True	False	
SRPK2:chr1:1685000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ARHGEF3:chr1:1690000	RNA	nb_default_alpha	negative_binomial		False	True	False	
TOP1:chr1:1695000	RNA	nb_default_alpha	negative_binomial		False	True	False	
CAST:chr1:1700000	RNA	nb_default_alpha	negative_binomial		False	True	False	
PRKCH:chr1:1705000	RNA	nb_default_alpha	negative_binomial		False	True	False	
HSPA8:chr1:1710000	RNA	nb_default_alpha	negative_binomial		False	True	False	
SF3B1:chr1:1715000	RNA	nb_default_alpha	negative_binomial		False	True	False	
GRB2:chr1:1720000	RNA	nb_default_alpha	negative_binomial		False	True	False	
BBX:chr1:1725000	RNA	nb_default_alpha	negative_binomial		False	True	False	
SRSF7:chr1:1730000	RNA	nb_default_alpha	negative_binomial		False	True	False	
EPC1:chr1:1735000	RNA	nb_default_alpha	negative_binomial		False	True	False	
RNF149:chr1:1740000	RNA	nb_default_alpha	negative_binomial		False	True	False	
SEMA4D:chr1:1745000	RNA	nb_default_alpha	negative_binomial		False	True	False	
LINC01578:chr1:1750000	RNA	nb_default_alpha	negative_binomial		False	True	False	
YWHAB:chr1:1755000	RNA	nb_default_alpha	negative_binomial		False	True	False	
GMFG:chr1:1760000	RNA	nb_default_alpha	negative_binomial		False	True	False	
NCOA1:chr1:1765000	RNA	nb_default_alpha	negative_binomial		False	True	False	
INPP5D:chr1:1770000	RNA	nb_default_alpha	negative_binomial		False	True	False	
TRA2A:chr1:1775000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ITGB2:chr1:1780000	RNA	nb_default_alpha	negative_binomial		False	True	False	
COG5:chr1:1785000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ARHGAP26:chr1:1790000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ERBIN:chr1:1795000	RNA	nb_default_alpha	negative_binomial		False	True	False	
FLI1:chr1:1800000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ARGLU1:chr1:1805000	RNA	nb_default_alpha	negative_binomial		False	True	False	
HSP90AB1:chr1:1810000	RNA	nb_default_alpha	negative_binomial		False	True	False	
RCSD1:chr1:1815000	RNA	nb_default_alpha	negative_binomial		False	True	False	
RPL36AL:chr1:1820000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ANKHD1:chr1:1825000	RNA	nb_default_alpha	negative_binomial		False	True	False	
SAT1:chr1:1830000	RNA	nb_default_alpha	negative_binomial		False	True	False	
LTB:chr1:1835000	RNA	nb_default_alpha	negative_binomial		False	True	False	
NR3C1:chr1:1840000	RNA	nb_default_alpha	negative_binomial		False	True	False	
AC079793.1:chr1:1845000	RNA	nb_default_alpha	negative_binomial		False	True	False	
HNRNPU:chr1:1850000	RNA	nb_default_alpha	negative_binomial		False	True	False	
PDE7A:chr1:1855000	RNA	nb_default_alpha	negative_binomial		False	True	False	
LRBA:chr1:1860000	RNA	nb_default_alpha	negative_binomial		False	True	False	
PIK3R5:chr1:1865000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ACTR2:chr1:1980000	RNA	nb_default_alpha	negative_binomial		False	True	False	
FAM172A:chr1:1985000	RNA	nb_default_alpha	negative_binomial		False	True	False	
BPTF:chr1:1990000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ATRX:chr1:1995000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ROCK1:chr1:2000000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ARPC2:chr1:2005000	RNA	nb_default_alpha	negative_binomial		False	True	False	
SP110:chr1:2010000	RNA	nb_default_alpha	negative_binomial		False	True	False	
GLG1:chr1:2015000	RNA	nb_default_alpha	negative_binomial		False	True	False	
SF1:chr1:2020000	RNA	nb_default_alpha	negative_binomial		False	True	False	
PPP2R5C:chr1:2025000	RNA	nb_default_alpha	negative_binomial		False	True	False	
TCF12:chr1:2030000	RNA	nb_default_alpha	negative_binomial		False	True	False	
OSBPL8:chr1:2035000	RNA	nb_default_alpha	negative_binomial		False	True	False	
NCOA2:chr1:2040000	RNA	nb_default_alpha	negative_binomial		False	True	False	
NKTR:chr1:2045000	RNA	nb_default_alpha	negative_binomial		False	True	False	
WIPF1:chr1:2050000	RNA	nb_default_alpha	negative_binomial		False	True	False	
STAG1:chr1:2055000	RNA	nb_default_alpha	negative_binomial		False	True	False	
MAP4K4:chr1:2060000	RNA	nb_default_alpha	negative_binomial		False	True	False	
CALM2:chr1:2065000	RNA	nb_default_alpha	negative_binomial		False	True	False	
PPP1R12A:chr1:2070000	RNA	nb_default_alpha	negative_binomial		False	True	False	
LUC7L3:chr1:2075000	RNA	nb_default_alpha	negative_binomial		False	True	False	
AOAH:chr1:2080000	RNA	nb_default_alpha	negative_binomial		False	True	False	
COX7C:chr1:2085000	RNA	nb_default_alpha	negative_binomial		False	True	False	
NAP1L1:chr1:2090000	RNA	nb_default_alpha	negative_binomial		False	True	False	
UBAC2:chr1:2095000	RNA	nb_default_alpha	negative_binomial		False	True	False	
CHD2:chr1:2100000	RNA	nb_default_alpha	negative_binomial		False	True	False	
EIF4A1:chr1:2105000	RNA	nb_default_alpha	negative_binomial		False	True	False	
EXOC4:chr1:2110000	RNA	nb_default_alpha	negative_binomial		False	True	False	
LPP:chr1:2115000	RNA	nb_default_alpha	negative_binomial		False	True	False	
DUSP1:chr1:2120000	RNA	nb_default_alpha	negative_binomial		False	True	False	
LYZ:chr1:2125000	RNA	nb_default_alpha	negative_binomial		False	True	False	
TOMM7:chr1:2130000	RNA	nb_default_alpha	negative_binomial		False	True	False	
OAZ1:chr1:2135000	RNA	nb_default_alpha	negative_binomial		False	True	False	
PIAS1:chr1:2140000	RNA	nb_default_alpha	negative_binomial		False	True	False	
RERE:chr1:2145000	RNA	nb_default_alpha	negative_binomial		False	True	False	
CD53:chr1:2150000	RNA	nb_default_alpha	negative_binomial		False	True	False	
HNRNPA1:chr1:2155000	RNA	nb_default_alpha	negative_binomial		False	True	False	
PACS1:chr1:2160000	RNA	nb_default_alpha	negative_binomial		False	True	False	
NCOR1:chr1:2165000	RNA	nb_default_alpha	negative_binomial		False	True	False	
FUS:chr1:2170000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ACAP2:chr1:2175000	RNA	nb_default_alpha	negative_binomial		False	True	False	
STAT1:chr1:2180000	RNA	nb_default_alpha	negative_binomial		False	True	False	
CCNL1:chr1:2185000	RNA	nb_default_alpha	negative_binomial		False	True	False	
TGFBR2:chr1:2190000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ITGA4:chr1:2195000	RNA	nb_default_alpha	negative_binomial		False	True	False	
COX4I1:chr1:2200000	RNA	nb_default_alpha	negative_binomial		False	True	False	
IQGAP2:chr1:2205000	RNA	nb_default_alpha	negative_binomial		False	True	False	
SH3BGRL3:chr1:2210000	RNA	nb_default_alpha	negative_binomial		False	True	False	
PICALM:chr1:2215000	RNA	nb_default_alpha	negative_binomial		False	True	False	
COP1:chr1:2220000	RNA	nb_default_alpha	negative_binomial		False	True	False	
CHST11:chr1:2225000	RNA	nb_default_alpha	negative_binomial		False	True	False	
PFDN5:chr1:2230000	RNA	nb_default_alpha	negative_binomial		False	True	False	
SRSF5:chr1:2235000	RNA	nb_default_alpha	negative_binomial		False	True	False	
AKAP9:chr1:2240000	RNA	nb_default_alpha	negative_binomial		False	True	False	
MYL12A:chr1:2245000	RNA	nb_default_alpha	negative_binomial		False	True	False	
PIP4K2A:chr1:2250000	RNA	nb_default_alpha	negative_binomial		False	True	False	
SCAF11:chr1:2255000	RNA	nb_default_alpha	negative_binomial		False	True	False	
TCF25:chr1:2260000	RNA	nb_default_alpha	negative_binomial		False	True	False	
TBC1D5:chr1:2265000	RNA	nb_default_alpha	negative_binomial		False	True	False	
JUN:chr1:2270000	RNA	nb_default_alpha	negative_binomial		False	True	False	
LAPTM5:chr1:2275000	RNA	nb_default_alpha	negative_binomial		False	True	False	
EML4:chr1:2280000	RNA	nb_default_alpha	negative_binomial		False	True	False	
KANSL1:chr1:2285000	RNA	nb_default_alpha	negative_binomial		False	True	False	
CTSS:chr1:2290000	RNA	nb_default_alpha	negative_binomial		False	True	False	
VPS13C:chr1:2295000	RNA	nb_default_alpha	negative_binomial		False	True	False	
NOP53:chr1:2300000	RNA	nb_default_alpha	negative_binomial		False	True	False	
TNFAIP8:chr1:2305000	RNA	nb_default_alpha	negative_binomial		False	True	False	
IRF1:chr1:2310000	RNA	nb_default_alpha	negative_binomial		False	True	False	
EEF2:chr1:2315000	RNA	nb_default_alpha	negative_binomial		False	True	False	
TBC1D22A:chr1:2320000	RNA	nb_default_alpha	negative_binomial		False	True	False	
MBP:chr1:2325000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ARPC1B:chr1:2330000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ITM2B:chr1:2335000	RNA	nb_default_alpha	negative_binomial		False	True	False	
LCP1:chr1:2340000	RNA	nb_default_alpha	negative_binomial		False	True	False	
MYH9:chr1:2345000	RNA	nb_default_alpha	negative_binomial		False	True	False	
USP34:chr1:2350000	RNA	nb_default_alpha	negative_binomial		False	True	False	
PLCL2:chr1:2355000	RNA	nb_default_alpha	negative_binomial		False	True	False	
HNRNPC:chr1:2360000	RNA	nb_default_alpha	negative_binomial		False	True	False	
USP3:chr1:2365000	RNA	nb_default_alpha	negative_binomial		False	True	False	
STK10:chr1:2370000	RNA	nb_default_alpha	negative_binomial		False	True	False	
YWHAZ:chr1:2375000	RNA	nb_default_alpha	negative_binomial		False	True	False	
FAM49B:chr1:2380000	RNA	nb_default_alpha	negative_binomial		False	True	False	
SH3KBP1:chr1:2385000	RNA	nb_default_alpha	negative_binomial		False	True	False	
TAOK3:chr1:2390000	RNA	nb_default_alpha	negative_binomial		False	True	False	
EEF1B2:chr1:2395000	RNA	nb_default_alpha	negative_binomial		False	True	False	
CCND3:chr1:2400000	RNA	nb_default_alpha	negative_binomial		False	True	False	
PNISR:chr1:2405000	RNA	nb_default_alpha	negative_binomial		False	True	False	
SRSF11:chr1:2410000	RNA	nb_default_alpha	negative_binomial		False	True	False	
VPS13B:chr1:2415000	RNA	nb_default_alpha	negative_binomial		False	True	False	
PAN3:chr1:2420000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ASH1L:chr1:2425000	RNA	nb_default_alpha	negative_binomial		False	True	False	
PPIA:chr1:2430000	RNA	nb_default_alpha	negative_binomial		False	True	False	
KLF6:chr1:2435000	RNA	nb_default_alpha	negative_binomial		False	True	False	
RAP1B:chr1:2440000	RNA	nb_default_alpha	negative_binomial		False	True	False	
KMT2E:chr1:2445000	RNA	nb_default_alpha	negative_binomial		False	True	False	
SIK3:chr1:2450000	RNA	nb_default_alpha	negative_binomial		False	True	False	
AAK1:chr1:2455000	RNA	nb_default_alpha	negative_binomial		False	True	False	
CAPZB:chr1:2460000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ATM:chr1:2465000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ARID4B:chr1:2470000	RNA	nb_default_alpha	negative_binomial		False	True	False	
PARP8:chr1:2475000	RNA	nb_default_alpha	negative_binomial		False	True	False	
RPL7:chr1:2995000	RNA	nb_default_alpha	negative_binomial		False	True	False	
ANKRD44:chr1:3165000	RNA	nb_default_alpha	negative_binomial		False	True	False	
RACK1:chr1:2780000	RNA	nb_default_alpha	negative_binomial		False	True	False	
CD44:chr1:2715000	RNA	nb_default_alpha	negative_binomial		False	True	False	
UTRN:chr1:2905000	RNA	nb_default_alpha	negative_binomial		False	True	False	
